Thn;bln;tgl;temp_min;temp_max;temp_rata-rata;lembab_rata-rata;ch;cahaya_jam
2022;1;1;24;32.2;27;84;1;3.5
2022;1;2;24;31.2;25.8;91;8.1;2.5
2022;1;3;22.4;32;26.3;86;29.3;2
2022;1;4;24;29.8;26.7;87;0.5;5.5
2022;1;5;23.4;32.2;26.9;85;22.3;0
2022;1;6;23.8;31.8;26;87;0;3.8
2022;1;7;23.8;31.8;26.3;88;0.3;2.9
2022;1;8;23.6;32.4;27.2;83;2.1;2
2022;1;9;25;33.2;27.3;86;0;4.4
2022;1;10;24;31.6;27.1;86;3.9;4.9
2022;1;11;23.8;31;26.6;88;0.4;4.1
2022;1;12;23.8;33;27.3;85;2.5;0.5
2022;1;13;24.6;33.4;28;80;1.1;5.2
2022;1;14;24.4;33.4;28.2;80;0;6.6
2022;1;15;23.6;34.2;26.9;84;0;6.9
2022;1;16;24.2;30.9;26.7;86;16.4;6.3
2022;1;17;23.6;31.6;26.4;86;8888;1.9
2022;1;18;24.2;33.4;28.1;82;0.2;1.5
2022;1;19;24.2;31;25.2;92;0;4.8
2022;1;20;24;31;26.4;84;6.1;0
2022;1;21;23.8;32.8;27.2;78;0;2.9
2022;1;22;23.8;33.1;27.6;77;0;6
2022;1;23;23.8;34.4;28.3;75;0;7.2
2022;1;24;22.4;34.6;28.5;69;0;7.7
2022;1;25;22.8;34;27.9;80;0;9
2022;1;26;24.8;33.4;27.9;85;27.8;7.2
2022;1;27;24.4;32.6;26.8;88;10.5;6
2022;1;28;23.2;32.2;26.5;84;7.4;6.4
2022;1;29;22.8;33.6;27.4;79;1;7.2
2022;1;30;24;34.2;28.4;77;0;7
2022;1;31;24.8;33.9;28.3;81;0;6.2
2022;2;1;24;31.4;26.8;84;0;3.6
2022;2;2;23.8;32.6;26.9;84;6.5;1.7
2022;2;3;23.4;32.4;26.6;86;0.4;2.2
2022;2;4;24.2;34;27.8;81;8888;2.4
2022;2;5;25;32.8;28;82;0;6.9
2022;2;6;24.8;32.5;28.1;80;0.3;4
2022;2;7;25.2;30.2;26.5;91;1.5;8.3
2022;2;8;24;;26.2;90;2;2
2022;2;9;23.7;32.9;26.7;86;4.6;0
2022;2;10;23.8;33;26.2;87;1.5;4.4
2022;2;11;23.4;32.4;25.9;89;47;4.9
2022;2;12;24;31.6;26.7;88;41.5;4.7
2022;2;13;24.2;30.6;25.7;91;0;1.7
2022;2;14;23.6;35;26;90;13.6;0.8
2022;2;15;23.3;31.4;26.3;89;37.2;2
2022;2;16;24.8;31.2;25.9;94;0;4.9
2022;2;17;24.4;32.2;27.1;87;8.2;2.4
2022;2;18;23.6;32;27.4;84;0;2.6
2022;2;19;23.6;32.8;27.5;82;0;7.7
2022;2;20;24.2;32.8;27.7;81;8888;7.9
2022;2;21;24.6;29.2;26.5;78;0.9;3.2
2022;2;22;23.6;30.8;26.5;85;0;0
2022;2;23;23.8;33;27.3;79;2;0
2022;2;24;24.2;33.4;28.2;78;0;4.9
2022;2;25;25.4;30.8;28.3;80;0;7
2022;2;26;23.6;34;27.1;82;0;0
2022;2;27;24;33.2;27.1;83;6.9;6.9
2022;2;28;24;33.2;27.2;84;5;6.2
2022;3;1;24.6;32.2;27.9;84;34.7;6.6
2022;3;2;23.4;31.6;27;87;19;7.4
2022;3;3;23.6;31.6;26.6;88;22.2;3.1
2022;3;4;24.6;31.8;26.2;90;15.5;2.1
2022;3;5;23.4;31.8;26.4;88;10.9;3.8
2022;3;6;24.2;32.2;26.5;89;0.3;1.8
2022;3;7;24;31.7;26.5;88;4.4;2.8
2022;3;8;24.2;33;27.9;82;6.4;2
2022;3;9;25;32;27.3;85;0;7.1
2022;3;10;25.2;31;27.5;87;0.8;5
2022;3;11;25;32.2;27.2;88;0;1
2022;3;12;22.8;32.6;26.5;87;51;5.5
2022;3;13;24.8;29.6;27.3;88;3.9;4.9
2022;3;14;23.9;32.6;26.5;88;5.5;0.2
2022;3;15;23.4;32.6;27.5;86;5.7;5.7
2022;3;16;25.2;32.2;27.9;86;0;6.5
2022;3;17;24.8;32.4;26.6;89;8888;2.3
2022;3;18;23.4;31.8;27.1;86;15.1;4.9
2022;3;19;24.6;32.8;28;82;4;3.3
2022;3;20;24.6;32.4;27.2;82;0.7;7.3
2022;3;21;24.6;31.4;28;82;14.2;7.3
2022;3;22;23.6;32;27.4;84;4.2;1.2
2022;3;23;23.8;30.4;26.7;89;12.1;2.4
2022;3;24;24.1;32.2;27.5;86;8888;0.1
2022;3;25;24.2;31.4;27.3;86;24.2;6.5
2022;3;26;22.8;33;26.5;84;8888;5.8
2022;3;27;24.4;32.4;27.3;84;0.2;5.3
2022;3;28;24;30.2;26.2;86;0;5.5
2022;3;29;23.8;31.8;26.5;86;8888;0
